RA;Código_turma;Nome_Disciplina
11201721501;NA1ESTG023-17SB;ORGANIZAÇÃO DO TRABALHO
11201721501;NA1ESTG003-17SB;ECONOMIA DE EMPRESAS
11201721501;NA1NHH2085-16SB;FILOSOFIA DA ARTE
11201721516;NA1NHBT001-23SA;BIOLOGIA SINTÉTICA
11201721516;NA2NHT1057-15SA;GENÉTICA II
11201721516;NA1NHZ6012-18SA;EMPREENDEDORISMO E PLANEJAMENTO DE PROJETOS EM BIOTECNOLOGIA
11201721524;NA1ESBM016-25SB;ERGONOMIA
11201721524;NA1ESBM001-23SB;BIOMECÂNICA I
11201721524;NA1ESTB022-17SB;FUNDAMENTOS DE ELETRÔNICA ANALÓGICA E DIGITAL
11201721524;NA1ESTB029-17SB;ANÁLISE E CONTROLE DE SISTEMAS MECÂNICOS
11201721536;DA1ESHR018-21SB;ATORES NÃO ESTATAIS E AS RELAÇÕES INTERNACIONAIS
11201721600;DA1MCBD003-23SA;METODOLOGIA DE PESQUISA EM CIÊNCIA DE DADOS
11201721601;NA1ESHT003-17SB;DEMOGRAFIA
11201721601;NA1ESTO012-17SB;PRINCÍPIOS DE ADMINISTRAÇÃO
11201721601;NA1ESHR006-13SB;FORMAÇÃO HISTÓRICA DA AMÉRICA LATINA
11201721606;DA1NHT1057-15SA;GENÉTICA II
11201721610;NA1ESTE015-17SA;FUNDAMENTOS DE CONVERSÃO DE ENERGIA ELÉTRICA
11201721610;NA1ESZE052-17SA;GERAÇÃO DISTRIBUÍDA
11201721610;NA1ESZG010-17SB;PLANEJAMENTO E CONTROLE DE PROJETOS
11201721618;DA1ESTI002-17SA;ELETRÔNICA DIGITAL
11201721618;NA1ESTA011-17SA;AUTOMAÇÃO DE SISTEMAS INDUSTRIAIS
11201721638;NA1MCTB008-17SA;CÁLCULO DE PROBABILIDADE
11201721679;DA1MCBD003-23SA;METODOLOGIA DE PESQUISA EM CIÊNCIA DE DADOS
11201721679;DB1ESTO012-17SA;PRINCÍPIOS DE ADMINISTRAÇÃO
11201721703;NA1NHZ5016-15SA;HISTÓRIA DA EDUCAÇÃO
11201721703;NA1MCTD023-18SA;FUNDAMENTOS DE ANÁLISE
11201721703;NA1MCZB035-17SA;EVOLUÇÃO DOS CONCEITOS MATEMÁTICOS
11201721741;NA1BCN0405-15SB;INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS
11201721790;NA1ESHP031-22SB;AVALIAÇÃO E MONITORAMENTO DE POLÍTICAS PÚBLICAS
11201721790;NA2BCL0306-15SB;BIODIVERSIDADE: INTERAÇÕES ENTRE ORGANISMOS E AMBIENTE
11201721790;NA1ESZT018-17SB;TÓPICOS ESPECIAIS EM PLANEJAMENTO TERRITORIAL
11201721813;NA1ESHC016-17SB;FINANÇAS CORPORATIVAS
11201721853;DA1MCTD021-18SA;FUNDAMENTOS DE ÁLGEBRA
11201721853;DB1BCM0504-15SA;NATUREZA DA INFORMAÇÃO
11201721853;NA1ESHT007-17SB;ESTUDOS DO MEIO FÍSICO
11201721882;NA1ESGE006-23SB;ENGENHARIA DE SEGURANÇA DO TRABALHO: ERGONOMIA
11201721882;NA1NHLH001-24SB;ANTIGUIDADES E USOS DO PASSADO
11201721883;NC1ESTO013-17SA;ENGENHARIA ECONÔMICA
11201721883;NB2BIR0004-15SA;BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA
11201721883;NB2BCN0402-15SA;FUNÇÕES DE UMA VARIÁVEL
11201721883;NA1ESMA002-23SA;INOVAÇÕES PARA ENGENHARIA
11201721909;NA1ESTO001-17SA;CIRCUITOS ELÉTRICOS E FOTÔNICA
11201721924;NA1ESTA008-17SB;SISTEMAS DE CONTROLE II
11201721924;NA1ESTS008-17SB;VIBRAÇÕES
11201721973;NA1ESTO012-17SB;PRINCÍPIOS DE ADMINISTRAÇÃO
11201721973;NA1ESZB021-17SB;INTRODUÇÃO À ENGENHARIA BIOMÉDICA
11201721987;NA1ESZE097-17SA;ARMAZENAMENTO DE ENERGIA ELÉTRICA
11201721987;NA1ESZE098-17SA;FÍSICA DE REATORES NUCLEARES
11201721987;DA1ESTE023-17SA;TRANSFERÊNCIA DE CALOR II
11201722004;NA1ESGE009-23SB;TÓPICOS EM ENGENHARIA DE PRODUÇÃO NA INDÚSTRIA DE ALIMENTOS
11201722009;NA1MCTA004-17SA;ARQUITETURA DE COMPUTADORES
11201722009;DA1MCCC007-23SA;COMPUTAÇÃO GRÁFICA
11201722016;NA2BIS0003-15SA;BASES MATEMÁTICAS
11201722021;NA1ESMA002-23SA;INOVAÇÕES PARA ENGENHARIA
11201722040;DB1ESHC022-17SB;MACROECONOMIA I
11201722057;NA1BCM0506-15SB;COMUNICAÇÃO E REDES
11201722057;NA1BIN0406-15SB;INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA
11201722057;NA1BIK0102-15SB;ESTRUTURA DA MATÉRIA
11201722069;NA2ESTA002-17SA;CIRCUITOS ELÉTRICOS I
11201722074;NA1NHZ5016-15SA;HISTÓRIA DA EDUCAÇÃO
11201722074;NA1ESZI027-17SA;INFORMAÇÃO E SOCIEDADE
11201722075;NA1ESTU006-17SA;GEOTECNIA
11201722075;NB1ESTU024-17SA;ANÁLISE DE SISTEMAS E MODELAGEM AMBIENTAL
11201722075;DA1ESZU019-17SA;TRANSPORTES E MEIO AMBIENTE
11201722075;NA1ESTU023-17SA;BIOMAS BRASILEIROS
11201722075;NA1ESTU029-17SA;HIDRÁULICA DE CONDUTOS LIVRES
11201722090;NA1ESHR018-21SB;ATORES NÃO ESTATAIS E AS RELAÇÕES INTERNACIONAIS
11201722090;DA1ESHR027-21SB;ÁFRICA NAS RELAÇÕES INTERNACIONAIS
11201722094;NA1ESTG007-17SB;ENGENHARIA LOGÍSTICA
11201722094;NA1ESTG010-17SB;INOVAÇÃO TECNOLÓGICA
11201722094;NA1ESTG023-17SB;ORGANIZAÇÃO DO TRABALHO
11201722116;NA1ESTI002-17SA;ELETRÔNICA DIGITAL
11201722129;NA4BCN0402-15SA;FUNÇÕES DE UMA VARIÁVEL
11201722176;NA1MCTA004-17SA;ARQUITETURA DE COMPUTADORES
11201722184;NA1MCCC003-23SA;ALGORITMOS EM GRAFOS
11201722214;NA1BCJ0203-15SA;FENÔMENOS ELETROMAGNÉTICOS
11201722222;DA1ESHC035-21SB;ECONOMETRIA I
11201722270;NA2ESHC035-21SB;ECONOMETRIA I
11201722287;NA1ESTG010-17SB;INOVAÇÃO TECNOLÓGICA
11201722287;NA1ESZG040-17SB;MODELOS DE DECISÃO MULTICRITÉRIO
11201722307;NA1ESZE052-17SA;GERAÇÃO DISTRIBUÍDA
11201722307;NA1ESZE104-17SA;ENERGIA GEOTÉRMICA
11201722309;NA1NHT3013-15SA;FÍSICA TÉRMICA
11201722309;DA1BCS0002-25SA;PROJETO DIRIGIDO
11201722321;NA1MCTD023-18SA;FUNDAMENTOS DE ANÁLISE
11201722321;NA1MCTB008-17SA;CÁLCULO DE PROBABILIDADE
11201722322;NA1NHT3067-15SA;ANÁLISE DE FOURIER E APLICAÇÕES
