Código da matéria;Nome da completo matéria;Campus;Horários;Docente teoria;Docente pratica;Arquivo_Origem
NB9BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 19:00 às 21:00, semanal; quinta das 21:00 às 23:00, semanal | Prática: segunda das 21:00 às 23:00, quinzenal I";VITOR HUGO PASCHOAL;VITOR HUGO PASCHOAL;Resultados da classificação_.pdf
NA1NHZ4079-20SA;FILOSOFIA DA QUÍMICA;SA;Teoria: terça das 19:00 às 21:00, semanal;RAFAEL CAVA MORI;-;Resultados da classificação_.pdf
NA1NHT1070-15SA;FISIOLOGIA VEGETAL II;SA;Teoria: segunda das 19:00 às 21:00, semanal | Prática: segunda das 21:00 às 23:00, semanal;RICARDO AUGUSTO LOMBELLO;RICARDO AUGUSTO LOMBELLO;Resultados da classificação_.pdf
NA1MCTD023-18SA;FUNDAMENTOS DE ANÁLISE;SA;"Teoria: segunda das 19:00 às 21:00, semanal; quarta das 21:00 às 23:00, semanal";REGINA HELENA DE OLIVEIRA LINO FRANCHI;REGINA HELENA DE OLIVEIRA LINO FRANCHI;Resultados da classificação_.pdf
NA1ESTE015-17SA;FUNDAMENTOS DE CONVERSÃO DE ENERGIA ELÉTRICA;SA;"Teoria: quarta das 19:00 às 21:00, semanal; sexta das 21:00 às 23:00, semanal";ADEMIR PELIZARI;-;Resultados da classificação_.pdf
NA1ESTO011-17SA;FUNDAMENTOS DE DESENHO TÉCNICO;SA;Teoria: terça das 21:00 às 23:00, semanal;PATRICIA CEZARIO SILVA;-;Resultados da classificação_.pdf
NA2ESTO011-17SA;FUNDAMENTOS DE DESENHO TÉCNICO;SA;Teoria: terça das 21:00 às 23:00, semanal;GILSON LAMEIRA DE LIMA;-;Resultados da classificação_.pdf
NB1ESTI017-17SA;FUNDAMENTOS DE ELETROMAGNETISMO APLICADO;SA;"Teoria: terça das 19:00 às 21:00, quinzenal I; quinta das 21:00 às 23:00, semanal | Prática: terça das 19:00 às 21:00, quinzenal II";STILANTE KOCH MANFRIN;STILANTE KOCH MANFRIN;Resultados da classificação_.pdf
NB2ESTI017-17SA;FUNDAMENTOS DE ELETROMAGNETISMO APLICADO;SA;"Teoria: terça das 19:00 às 21:00, quinzenal II; quinta das 21:00 às 23:00, semanal | Prática: terça das 19:00 às 21:00, quinzenal I";JORGE DIEGO MARCONI;JORGE DIEGO MARCONI;Resultados da classificação_.pdf
NA1MCTD021-18SA;FUNDAMENTOS DE ÁLGEBRA;SA;"Teoria: terça das 21:00 às 23:00, semanal; sexta das 19:00 às 21:00, semanal";ELISABETE MARCON MELLO;ELISABETE MARCON MELLO;Resultados da classificação_.pdf
NA1BCN0402-15SA;FUNÇÕES DE UMA VARIÁVEL;SA;"Teoria: quarta das 19:00 às 21:00, semanal; sexta das 21:00 às 23:00, semanal";ANDRE MARTIN TIMPANARO;-;Resultados da classificação_.pdf
NA2BCN0402-15SA;FUNÇÕES DE UMA VARIÁVEL;SA;"Teoria: quarta das 19:00 às 21:00, semanal; sexta das 21:00 às 23:00, semanal";DMITRY VASILEVICH;-;Resultados da classificação_.pdf
NA3BCN0402-15SA;FUNÇÕES DE UMA VARIÁVEL;SA;"Teoria: quarta das 19:00 às 21:00, semanal; sexta das 21:00 às 23:00, semanal";STEFANO NARDULLI;-;Resultados da classificação_.pdf
NA4BCN0402-15SA;FUNÇÕES DE UMA VARIÁVEL;SA;"Teoria: quarta das 19:00 às 21:00, semanal; sexta das 21:00 às 23:00, semanal";VLADISLAV KUPRIYANOV;-;Resultados da classificação_.pdf
NA5BCN0402-15SA;FUNÇÕES DE UMA VARIÁVEL;SA;"Teoria: quarta das 19:00 às 21:00, semanal; sexta das 21:00 às 23:00, semanal";ILMA APARECIDA MARQUES SILVA;-;Resultados da classificação_.pdf
NB1BCN0402-15SA;FUNÇÕES DE UMA VARIÁVEL;SA;"Teoria: quarta das 21:00 às 23:00, semanal; sexta das 19:00 às 21:00, semanal";ANDRE MARTIN TIMPANARO;-;Resultados da classificação_.pdf
NB2BCN0402-15SA;FUNÇÕES DE UMA VARIÁVEL;SA;"Teoria: quarta das 21:00 às 23:00, semanal; sexta das 19:00 às 21:00, semanal";ERCILIO CARVALHO DA SILVA;-;Resultados da classificação_.pdf
