BC&T 2023						BC&T 2015 - 2017						BAC. COMPUTAÇÃO 2017						BAC. COMPUTAÇÃO 2023						BAC. DADOS 2024						ENG. IAR  2023						ENG. INFORMAÇÃO 2023						ENG. AERO 2023						ENG. GESTÃO 2023						ENG. MATERIAIS 2023						ENG. AMBIENTAL 2023						BAC. BIOTEC 2023						ENG. BIOMED 2023						ENG. ENERGIA 2023						BAC. NEUROCIÊNCIA 2023						BAC. FÍSICA 2023						BAC. MATEMÁTICA 2023						BAC. QUÍMICA 2023						BAC. BIOLÓGICAS 2023						BC&H 2020						BAC. ECONOMIA 2023						BAC. RI 2022						BAC. POLÍTICAS PÚBLICAS 2023						BAC, PLAN. TERRITORIAL 2022					
OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	Obrigatórias	Limitadas	Livres	Horas Complementares (Preencher)	Extensionistas (Preencher)	Carga total	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL
		GEOMETRIA DIFERENCIAL II	48					MECANICA QUANTICA I	72																																																																																																																																						
		GRUPOS	48					MECANICA QUANTICA II	48																																																																																																																																						
		MATEMATICA DISCRETA	48					MECANISMOS DE REACOES ORGANICAS	48																																																																																																																																						
		TEORIA DA MEDIDA E INTEGRACAO	48					METATEOREMAS DA LOGICA CLASSICA	48																																																																																																																																						
		PROBABILIDADE	48					METODOLOGIAS DE PESQUISA EM EDUCACAO	24																																																																																																																																						
		SEQUENCIAS E SERIES	48					METODOS COMPUTACIONAIS PARA ANALISE ESTRUTURAL	48																																																																																																																																						
		TEORIA ARITMETICA DOS NUMEROS	48					METODOS DE ANALISE EM QUIMICA ORGANICA	48																																																																																																																																						
		TRABALHO DE CONCLUSAO DE CURSO EM MATEMATICA I	24					METODOS DE ELEMENTOS FINITOS APLICADOS A SISTEMAS BIOMEDICOS	36																																																																																																																																						
		TRABALHO DE CONCLUSAO DE CURSO EM MATEMATICA II	24					METODOS EXPERIMENTAIS EM ENGENHARIA	48																																																																																																																																						
		TOPOLOGIA	48					METODOS MATEMATICOS APLICADOS A SISTEMAS BIOMEDICOS	72																																																																																																																																						
		TRABALHO DE CONCLUSAO DE CURSO EM MATEMATICA III	24					METODOS MATEMATICOS I	48																																																																																																																																						
		INTRODUCAO A FILOSOFIA DA MENTE	24					METODOS NUMERICOS EM EDO'S	48																																																																																																																																						
		INTRODUCAO A NEUROCIENCIA	48					MICROBIOLOGIA	72																																																																																																																																						
		COMUNICACAO CIENTIFICA	24					MICROBIOLOGIA AMBIENTAL	48																																																																																																																																						
		PROCESSAMENTO DE SINAIS NEURAIS	48					MINERACAO DE DADOS	48																																																																																																																																						
		PROGRESSOS E METODOS EM NEUROCIENCIA	48					MODELAGEM DE SISTEMAS	48																																																																																																																																						
		PSICOLOGIA COGNITIVA	48					MODELAGEM DE SISTEMAS BIOLOGICOS	48																																																																																																																																						
		INTRODUCAO A INFERENCIA ESTATISTICA	48					MODELAGEM DE SISTEMAS DINAMICOS II	48																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM NEUROCIENCIA I	120					MODELAGEM E CONTROLE	24																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM NEUROCIENCIA II	120					MODELAGEM, SIMULACAO E CONTROLE APLICADOS A SISTEMAS BIOLOGICOS	48																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM NEUROCIENCIA III	120					MORFOFISIOLOGIA EVOLUTIVA	48																																																																																																																																						
		NEUROPSICOFARMACOLOGIA	48					NANOBIOTECNOLOGIA	48																																																																																																																																						
		NEUROBIOLOGIA MOLECULAR E CELULAR	48					NASCIMENTO E DESENVOLVIMENTO DA CIENCIA MODERNA	48																																																																																																																																						
		PSICOLOGIA EXPERIMENTAL	72					NEGOCIACOES INTERNACIONAIS, PROPRIEDADE INTELECTUAL E TRANSFERENCIA TECNOLOGICA	48																																																																																																																																						
		NEUROCIENCIA TEORICA E COMPUTACIONAL	48					NEUROANATOMIA	48																																																																																																																																						
		NEUROANATOMIA	48					NEUROARTE	24																																																																																																																																						
		NEUROETOLOGIA	48					NEUROBIOLOGIA MOLECULAR E CELULAR	48																																																																																																																																						
		BIOFISICA DE MEMBRANAS	72					NEUROETOLOGIA	48																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM MATEMATICA I (NIVEL MEDIO)	80					NEUROPSICOFARMACOLOGIA	48																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM MATEMATICA II (NIVEL MEDIO)	80					NOCOES DE ASTRONOMIA E COSMOLOGIA	48																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM MATEMATICA III (NIVEL MEDIO)	80					ONDAS ELETROMAGNETICAS APLICADAS	48																																																																																																																																						
		SIMETRIAS NO PLANO EUCLIDIANO	48					OPERACAO DE SISTEMAS ELETRICOS DE POTENCIA	48																																																																																																																																						
		GEOMETRIA PLANA AXIOMATICA	48					OPTICA	48																																																																																																																																						
		HISTORIA DA MATEMATICA	48					ORGANIZACAO DO TRABALHO	24																																																																																																																																						
		PRATICAS DE ENSINO DE MATEMATICA NO ENSINO FUNDAMENTAL	48					OTIMIZACAO	60																																																																																																																																						
		PRATICAS DE ENSINO DE MATEMATICA II	36					PARADIGMAS DE PROGRAMACAO	48																																																																																																																																						
		PRATICAS DE ENSINO DE MATEMATICA III	36					PATRIMONIO CULTURAL E PAISAGEM	48																																																																																																																																						
		PRATICAS DE ENSINO DE MATEMATICA I	36					PAULO FREIRE: EDUCACAO PARA A CRITICIDADE	24																																																																																																																																						
		CONSTRUCOES GEOMETRICAS E GEOMETRIA METRICA	48					PENSAMENTO CRITICO	48																																																																																																																																						
		FUNDAMENTOS DE ALGEBRA	48					PENSAMENTO ECONOMICO	36																																																																																																																																						
		ALGEBRA NA EDUCACAO BASICA	24					PESQUISA E COMUNICACAO CIENTIFICA	24																																																																																																																																						
		FUNDAMENTOS DE ANALISE	48					PESQUISA E COMUNICACAO CIENTIFICA	24																																																																																																																																						
		ANALISE NA EDUCACAO BASICA	24					PESQUISA OPERACIONAL	72																																																																																																																																						
		CALCULO AVANCADO	48					PETROFISICA	48																																																																																																																																						
		ANALISE DE PROJETO	24					PLANEJAMENTO E CONTROLE DA PRODUCAO	72																																																																																																																																						
		APRENDIZADO DE MAQUINA	48					PLANEJAMENTO E GESTAO DE REDES TECNICAS E SISTEMAS TERRITORIAIS	48																																																																																																																																						
		COMPUTACAO EVOLUTIVA E CONEXIONISTA	48					PLANEJAMENTO URBANO E METROPOLITANO	48																																																																																																																																						
		EMPREENDEDORISMO E DESENVOLVIMENTO DE NEGOCIOS	48					POLITICAS DE EDUCACAO	48																																																																																																																																						
		INTERACAO HUMANO-COMPUTADOR	48					POLITICAS EDUCACIONAIS	36																																																																																																																																						
		LOGICAS NAO CLASSICAS	48					POLITICAS PUBLICAS EM CIENCIA E TECNOLOGIA	36																																																																																																																																						
		MINERACAO DE DADOS	48					POLUICAO ATMOSFERICA	36																																																																																																																																						
		GESTAO DE PROJETOS DE SOFTWARE	48					PRATICAS DE CIENCIAS NO ENSINO FUNDAMENTAL	48																																																																																																																																						
		PROCESSAMENTO DIGITAL DE IMAGENS	48					PRATICAS DE ECOLOGIA	48																																																																																																																																						
		SISTEMAS DE GERENCIAMENTO DE BANCO DE DADOS	48					PRATICAS DE ENSINO DE BIOLOGIA I	36																																																																																																																																						
		SISTEMAS DE INFORMACAO	48					PRATICAS DE ENSINO DE BIOLOGIA II	36																																																																																																																																						
		SISTEMAS MULTIAGENTES	48					PRATICAS DE ENSINO DE BIOLOGIA III	36																																																																																																																																						
		VIDA ARTIFICIAL NA COMPUTACAO	24					PRATICAS DE ENSINO DE CIENCIAS E MATEMATICA NO ENSINO FUNDAMENTAL	48																																																																																																																																						
		COMBINATORIA EXTREMAL	48					PRATICAS DE ENSINO DE CIENCIAS E MATEMATICA NO ENSINO FUNDAMENTAL	48																																																																																																																																						
		PROCESSO E DESENVOLVIMENTO DE SOFTWARES EDUCACIONAIS	48					PRATICAS DE ENSINO DE FISICA I	36																																																																																																																																						
		ROBOTICA E SISTEMAS INTELIGENTES	48					PRATICAS DE ENSINO DE FISICA II	36																																																																																																																																						
		ELEMENTOS FINITOS	48					PRATICAS DE ENSINO DE FISICA III	36																																																																																																																																						
		GEOMETRIA NAO EUCLIDIANA	48					PRATICAS DE ENSINO DE MATEMATICA I	36																																																																																																																																						
		INFERENCIA ESTATISTICA	48					PRATICAS DE ENSINO DE MATEMATICA II	36																																																																																																																																						
		INTRODUCAO A CRIPTOGRAFIA	48					PRATICAS DE ENSINO DE MATEMATICA III	36																																																																																																																																						
		INTRODUCAO A MODELAGEM E PROCESSOS ESTOCASTICOS	48					PRATICAS DE ENSINO DE MATEMATICA NO ENSINO FUNDAMENTAL	48																																																																																																																																						
		METATEOREMAS DA LOGICA CLASSICA	48					PRATICAS DE ENSINO DE QUIMICA I	36																																																																																																																																						
		METODOS NUMERICOS EM EDO'S	48					PRATICAS DE ENSINO DE QUIMICA II	36																																																																																																																																						
		PRINCIPIOS DE SIMULACAO MATEMATICA	48					PRATICAS DE ENSINO DE QUIMICA III	36																																																																																																																																						
		TEORIA AXIOMATICA DOS CONJUNTOS	48					PRATICAS EM CIENCIAS E HUMANIDADES	48																																																																																																																																						
		TEORIA DOS JOGOS	48					PRATICAS EM QUIMICA VERDE	48																																																																																																																																						
		TEORIA DAS FILAS	48					PRATICAS ESCOLARES EM EDUCACAO ESPECIAL E INCLUSIVA	48																																																																																																																																						
		TEORIA DA RECURSAO E COMPUTABILIDADE	48					PRATICAS EXTENSIONISTAS EM GENERO, DIVERSIDADE E RACA	36																																																																																																																																						
		TEORIA DAS DISTRIBUICOES	48					PRATICAS EXTENSIONISTAS EM LETRAMENTO DIGITAL	48																																																																																																																																						
		EVOLUCAO DOS CONCEITOS MATEMATICOS	48					PRINCIPIOS DE COMUNICACAO	48																																																																																																																																						
		BASES NEURAIS DA MOTRICIDADE	48					PRINCIPIOS DE ETICA EM SERVICOS DE SAUDE	24																																																																																																																																						
		INTRODUCAO A PSICOLINGUISTICA E NEUROCIENCIA DA LINGUAGEM	48					PRINCIPIOS DE IMAGENS MEDICAS	48																																																																																																																																						
		ERGONOMIA COGNITIVA	48					PRINCIPIOS DE MECANICA QUANTICA	48																																																																																																																																						
		NEUROARTE	24					PRINCIPIOS DE SIMULACAO MATEMATICA	48																																																																																																																																						
		ATENCAO E ESTADOS DE CONSCIENCIA	48					PRINCIPIOS DE TERMODINAMICA	48																																																																																																																																						
		TOMADA DE DECISOES E NEUROECONOMIA	48					PRINCIPIOS E APLICACOES DE BIOMECANICA	48																																																																																																																																						
		SENSACAO E PERCEPCAO	48					PROBABILIDADE	48																																																																																																																																						
		PROCESSAMENTO DIGITAL DE IMAGENS	48					PROBABILIDADE E ESTATISTICA	48																																																																																																																																						
		ESTRUTURA DE DADOS I	48					PROCESSAMENTO DE INFORMACAO EM LINGUAS NATURAIS	48																																																																																																																																						
		PROBABILIDADE E ESTATISTICA	48					PROCESSAMENTO DE SINAIS NEURAIS	48																																																																																																																																						
		FILOSOFIA DA EDUCACAO	48					PROCESSAMENTO DIGITAL DE IMAGENS	48																																																																																																																																						
		LOGICA BASICA	48					PROCESSAMENTO DIGITAL DE IMAGENS	48																																																																																																																																						
		DESENVOLVIMENTO E APRENDIZAGEM	48					PROCESSAMENTO DIGITAL DE SINAIS	48																																																																																																																																						
		DIDATICA	48					PROCESSAMENTO E ANALISE DE SINAIS BIOMEDICOS	48																																																																																																																																						
		POLITICAS EDUCACIONAIS	36					PROCESSO E DESENVOLVIMENTO DE SOFTWARES EDUCACIONAIS	48																																																																																																																																						
		LIBRAS	48					PROCESSOS INDUSTRIAIS ORGANICOS E INORGANICOS	48																																																																																																																																						
		REACOES NUCLEARES	36					PROGRAMACAO DE DISPOSITIVOS MOVEIS	24																																																																																																																																						
		BIOETICA	24					PROGRAMACAO DE SOFTWARE EMBARCADO	48																																																																																																																																						
		BIOLOGIA ANIMAL I	60					PROGRAMACAO MATEMATICA	48																																																																																																																																						
		BIOLOGIA ANIMAL II	60					PROGRAMACAO MATEMATICA	48																																																																																																																																						
		BIOLOGIA ANIMAL III	60					PROGRAMACAO ORIENTADA A OBJETOS	48																																																																																																																																						
		BIOLOGIA VEGETAL II	60					PROGRESSOS E METODOS EM NEUROCIENCIA	48																																																																																																																																						
		BIOLOGIA VEGETAL III	60					PROJETO AMBIENTAL URBANO	48																																																																																																																																						
		BIOQUIMICA FUNCIONAL	72					PROJETO ASSISTIDO POR COMPUTADOR	24																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM BIOLOGIA I (NIVEL MEDIO)	80					PROJETO DE ELEMENTOS ESTRUTURAIS DE AERONAVES I	48																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM BIOLOGIA II (NIVEL MEDIO)	80					PROJETO DE FILTROS DIGITAIS	48																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM BIOLOGIA III (NIVEL MEDIO)	80					PROJETO DE GRADUACAO EM COMPUTACAO I	96																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM CIENCIAS BIOLOGICAS	20					PROJETO DE GRADUACAO EM COMPUTACAO II	96																																																																																																																																						
		GENETICA GERAL	60					PROJETO DE GRADUACAO EM COMPUTACAO III	96																																																																																																																																						
		GEOLOGIA E PALEONTOLOGIA	48					PROPAGACAO E ANTENAS	48																																																																																																																																						
		MODELAGEM DE SISTEMAS BIOLOGICOS	48					PROPRIEDADE INTELECTUAL	48																																																																																																																																						
		MORFOFISIOLOGIA EVOLUTIVA	48					PROPRIEDADES ELETRICAS, MAGNETICAS E OPTICAS	48																																																																																																																																						
		PRATICAS DE ECOLOGIA	48					PROPRIEDADES MECANICAS E TERMICAS	48																																																																																																																																						
		PRATICAS DE ENSINO DE BIOLOGIA I	36					PROTEINAS RECOMBINANTES	48																																																																																																																																						
		SISTEMAS BIOLOGICOS II	72					PSICOLOGIA COGNITIVA	48																																																																																																																																						
		SISTEMAS BIOLOGICOS III	72					PSICOLOGIA EXPERIMENTAL	72																																																																																																																																						
		SISTEMAS BIOLOGICOS IV	72					QUALIDADE EM SISTEMAS	48																																																																																																																																						
		SISTEMATICA E BIOGEOGRAFIA	48					QUESTOES ATUAIS NO ENSINO DE CIENCIAS	24																																																																																																																																						
		TRABALHO DE CONCLUSAO DE CURSO EM BIOLOGIA	24					QUIMICA AMBIENTAL	24																																																																																																																																						
		BIOLOGIA CELULAR	72					QUIMICA ANALITICA CLASSICA I	72																																																																																																																																						
		HISTOLOGIA E EMBRIOLOGIA	72					QUIMICA ANALITICA CLASSICA II	72																																																																																																																																						
		FUNDAMENTOS DE IMUNOLOGIA	48					QUIMICA ANALITICA E BIOANALITICA AVANCADA	72																																																																																																																																						
		MICROBIOLOGIA	72					QUIMICA DE COORDENACAO	96																																																																																																																																						
		GENETICA II	48					QUIMICA DO PETROLEO	48																																																																																																																																						
		GENETICA I	72					QUIMICA DOS ELEMENTOS	96																																																																																																																																						
		EVOLUCAO	48					QUIMICA INORGANICA EXPERIMENTAL	48																																																																																																																																						
		ZOOLOGIA DE INVERTEBRADOS I	72					QUIMICA ORGANICA APLICADA	48																																																																																																																																						
		EVOLUCAO E DIVERSIDADE DE PLANTAS I	48					QUIMICA ORGANICA EXPERIMENTAL	48																																																																																																																																						
		EVOLUCAO E DIVERSIDADE DE PLANTAS II	72					REACOES NUCLEARES	36																																																																																																																																						
		ECOLOGIA COMPORTAMENTAL	48					RECUPERACAO DE AREAS DEGRADADAS	36																																																																																																																																						
		ECOLOGIA VEGETAL	48					RECURSOS HIDRICOS	36																																																																																																																																						
		PRATICAS DE ENSINO DE BIOLOGIA E CURRICULO	36					REGULACAO AMBIENTAL E URBANISTICA	24																																																																																																																																						
		PRATICAS DE ENSINO DE BIOLOGIA E PLANEJAMENTO	36					REOLOGIA I	24																																																																																																																																						
		PRATICAS DE ENSINO DE BIOLOGIA E APRENDIZAGEM	36					REPRESENTACAO GRAFICA DE PROJETOS AMBIENTAIS E URBANOS	48																																																																																																																																						
		INSTRUMENTACAO PARA O ENSINO DE CIENCIAS E BIOLOGIA	48					RESIDUOS SOLIDOS	36																																																																																																																																						
		ENSINO DE MORFOFISIOLOGIA HUMANA	48					RISCOS NO AMBIENTE URBANO	48																																																																																																																																						
		ZOOLOGIA GERAL DOS INVERTEBRADOS	72					ROBOTICA E SISTEMAS INTELIGENTES	48																																																																																																																																						
		TEORIA DA CIENCIA	48					SAUDE AMBIENTAL	24																																																																																																																																						
		FILOSOFIA DA RELIGIAO	36					SEGURANCA DE REDES	48																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM FISICA I (NIVEL MEDIO)	56					SEGURANCA E REGULAMENTACAO EM BIOTECNOLOGIA	24																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM FISICA II (NIVEL MEDIO)	80					SELECAO DE MATERIAIS	48																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM FISICA III (NIVEL MEDIO)	80					SENSACAO E PERCEPCAO	48																																																																																																																																						
		FISICA DO CONTINUO	48					SENSORES BIOMEDICOS	24																																																																																																																																						
		FISICA TERMICA	48					SENSORES E TRANSDUTORES	48																																																																																																																																						
		FUNCOES COMPLEXAS E TRANSFORMADAS INTEGRAIS	48					SENSORIAMENTO REMOTO	48																																																																																																																																						
		LABORATORIO DE FISICA I	36					SEQUENCIAS E SERIES	48																																																																																																																																						
		LABORATORIO DE FISICA II	36					SINAIS ALEATORIOS	48																																																																																																																																						
		MECANICA ANALITICA I	48					SISTEMAS BIOLOGICOS II	72																																																																																																																																						
		MECANICA ESTATISTICA	72					SISTEMAS BIOLOGICOS III	72																																																																																																																																						
		MECANICA GERAL	48					SISTEMAS BIOLOGICOS IV	72																																																																																																																																						
		OPTICA	48					SISTEMAS CAD/CAE	48																																																																																																																																						
		PRATICAS DE ENSINO DE FISICA I	36					SISTEMAS CAD/CAM	48																																																																																																																																						
		PRATICAS DE ENSINO DE FISICA II	36					SISTEMAS CAM	48																																																																																																																																						
		PRATICAS DE ENSINO DE FISICA III	36					SISTEMAS DE ABASTECIMENTO DE AGUAS	48																																																																																																																																						
		PRINCIPIOS DE MECANICA QUANTICA	48					SISTEMAS DE CONTROLE I	60																																																																																																																																						
		PRINCIPIOS DE TERMODINAMICA	48					SISTEMAS DE CONTROLE II	60																																																																																																																																						
		TEORIA DA RELATIVIDADE	48					SISTEMAS DE DRENAGEM URBANA	36																																																																																																																																						
		TEORIA ELETROMAGNETICA	72					SISTEMAS DE ESGOTAMENTO SANITARIO	36																																																																																																																																						
		TRABALHO DE CONCLUSAO DE CURSO EM FISICA	324					SISTEMAS DE GERENCIAMENTO DE BANCO DE DADOS	48																																																																																																																																						
		FISICA ONDULATORIA	48					SISTEMAS DE INFORMACAO	48																																																																																																																																						
		LABORATORIO DE FISICA III	36					SISTEMAS DE PROPULSAO I	48																																																																																																																																						
		VARIAVEIS COMPLEXAS E APLICACOES	48					SISTEMAS DE TRATAMENTO DE AGUA	36																																																																																																																																						
		ANALISE DE FOURIER E APLICACOES	48					SISTEMAS DIGITAIS	48																																																																																																																																						
		MECANICA CLASSICA I	48					SISTEMAS DISTRIBUIDOS	48																																																																																																																																						
		ELETROMAGNETISMO I	48					SISTEMAS E PROCESSOS DE PRODUCAO	48																																																																																																																																						
		ELETROMAGNETISMO II	48					SISTEMAS INTEGRADOS DE GESTAO DA QUALIDADE AMBIENTAL, SEGURANCA E SAUDE	24																																																																																																																																						
		MECANICA QUANTICA I	72					SISTEMAS INTELIGENTES	48																																																																																																																																						
		MECANICA QUANTICA II	48					SISTEMAS MICROPROCESSADOS	48																																																																																																																																						
		ANALISE QUIMICA INSTRUMENTAL	72					SISTEMAS MULTIAGENTES	48																																																																																																																																						
		BIOQUIMICA	72					SISTEMAS TERMICOS	48																																																																																																																																						
		BIOQUIMICA EXPERIMENTAL	72					SISTEMATICA E BIOGEOGRAFIA	48																																																																																																																																						
		ELETROANALITICA E TECNICAS DE SEPARACAO	72					SUBESTACAO E EQUIPAMENTOS	24																																																																																																																																						
		ESPECTROSCOPIA	72					TECNICAS DE ANALISE ESTRUTURAL E PROJETO	36																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM QUIMICA I (NIVEL MEDIO)	80					TECNOLOGIA DA INFORMACAO	24																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM QUIMICA II (NIVEL MEDIO)	80					TECNOLOGIA DOS PROCESSOS DE TRANSFORMACAO	96																																																																																																																																						
		ESTAGIO SUPERVISIONADO EM QUIMICA III (NIVEL MEDIO)	80					TECNOLOGIAS DA INFORMACAO E COMUNICACAO NA EDUCACAO	36																																																																																																																																						
		ESTAGIO SUPERVISIONADO I	150					TELEFONIA FIXA MODERNA	48																																																																																																																																						
		ESTAGIO SUPERVISIONADO II	150					TEMAS E PROBLEMAS EM FILOSOFIA	48																																																																																																																																						
		EXPERIMENTACAO E ENSINO DE QUIMICA	36					TEMPOS, METODOS E ARRANJOS FISICOS	48																																																																																																																																						
		FISICO-QUIMICA EXPERIMENTAL	72					TEORIA ARITMETICA DOS NUMEROS	48																																																																																																																																						
		FUNCOES E REACOES ORGANICAS	48					TEORIA AXIOMATICA DOS CONJUNTOS	48																																																																																																																																						
		LIGACOES QUIMICAS	48					TEORIA DA CIENCIA	48																																																																																																																																						
		MECANISMOS DE REACOES ORGANICAS	48					TEORIA DA EVOLUCAO, JOGOS EVOLUCIONARIOS E DINAMICA POPULACIONAL	48																																																																																																																																						
		METODOS DE ANALISE EM QUIMICA ORGANICA	48					TEORIA DA HISTORIA I	48																																																																																																																																						
		PRATICAS DE ENSINO DE QUIMICA I	36					TEORIA DA INFORMACAO E CODIGOS	48																																																																																																																																						
		PRATICAS DE ENSINO DE QUIMICA II	36					TEORIA DA MEDIDA E INTEGRACAO	48																																																																																																																																						
		PRATICAS DE ENSINO DE QUIMICA III	36					TEORIA DA RECURSAO E COMPUTABILIDADE	48																																																																																																																																						
		PRATICAS EM QUIMICA VERDE	48					TEORIA DA RELATIVIDADE	48																																																																																																																																						
		QUIMICA ORGANICA APLICADA	48					TEORIA DAS DISTRIBUICOES	48																																																																																																																																						
		QUIMICA ORGANICA EXPERIMENTAL	48					TEORIA DAS FILAS	48																																																																																																																																						
		TRABALHO DE CONCLUSAO DE CURSO EM QUIMICA	24					TEORIA DE CONJUNTOS BASICA	48																																																																																																																																						
		ESTRUTURA DA MATERIA AVANCADA	72					TEORIA DE FILAS E ANALISE DE DESEMPENHO	48																																																																																																																																						
		QUIMICA ANALITICA CLASSICA II	72					TEORIA DO CONHECIMENTO CIENTIFICO	48																																																																																																																																						
		QUIMICA ANALITICA CLASSICA I	72					TEORIA DO PLANEJAMENTO URBANO E AMBIENTAL	36																																																																																																																																						
		QUIMICA DE COORDENACAO	96					ALGORITMOS EM GRAFOS	48																																																																																																																																						
		QUIMICA DOS ELEMENTOS	96					TEORIA DOS JOGOS	48																																																																																																																																						
		TOPICOS AVANCADOS EM QUIMICA ORGANICA	24					TEORIA ELETROMAGNETICA	72																																																																																																																																						
		QUIMICA INORGANICA EXPERIMENTAL	48					TERMODINAMICA APLICADA	48																																																																																																																																						
		TERMODINAMICA QUIMICA	48					TERMODINAMICA APLICADA I	48																																																																																																																																						
		QUIMICA ANALITICA E BIOANALITICA AVANCADA	72					TERMODINAMICA APLICADA II	48																																																																																																																																						
		AVALIACAO NO ENSINO DE QUIMICA	36					TERMODINAMICA DE MATERIAIS	48																																																																																																																																						
		LIVROS DIDATICOS NO ENSINO DE QUIMICA	48					TERMODINAMICA ESTATISTICA DE MATERIAIS	48																																																																																																																																						
		EDUCACAO CIENTIFICA, SOCIEDADE E CULTURA	48					TERMODINAMICA QUIMICA	48																																																																																																																																						
		ESTAGIO SUPERVISIONADO (NIVEL FUNDAMENTAL) I	80					TERRITORIO E SOCIEDADE	48																																																																																																																																						
		ESTAGIO SUPERVISIONADO (NIVEL FUNDAMENTAL) II	80					TOMADA DE DECISOES E NEUROECONOMIA	48																																																																																																																																						
		PRATICAS DE CIENCIAS NO ENSINO FUNDAMENTAL	48					TOPICOS AVANCADOS EM QUIMICA ORGANICA	24																																																																																																																																						
		PRATICAS DE ENSINO DE CIENCIAS E MATEMATICA NO ENSINO FUNDAMENTAL	48					TOPICOS COMPUTACIONAIS EM MATERIAIS	48																																																																																																																																						
